date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:48	128/128	---MCZ	200	added ('OK')	text/plain	date:Tue,%2017%20Dec%202024%2019:02:48%20GMT	https://artisantalent.com/robots.txt		(from )
03:02:49	144574/144574	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2019:02:49%20GMT	https://artisantalent.com/job-descriptions/web-designer-job-description/	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/job-descriptions/web-designer-job-description/index.html	(from )
03:02:49	285/285	---M--	200	added ('OK')	image/png	etag:%22673b66fe-512%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-16x16.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-16x16.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:49	592/592	---M--	200	added ('OK')	image/png	etag:%226748e400-692%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-32x32.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-32x32.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:50	880/880	---M--	200	added ('OK')	image/png	etag:%2267505319-7d7%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-48x48.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-48x48.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:50	1717/1717	---M--	200	added ('OK')	image/png	etag:%226754905d-c6e%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-96x96.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/favicon-96x96.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:50	2832/2832	---M--	200	added ('OK')	image/png	etag:%22675a0441-1084%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:51	3271/3271	---M--	200	added ('OK')	image/png	etag:%226752c3b9-1345%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-72x72-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:51	3091/3091	---M--	200	added ('OK')	image/png	etag:%226752c3b9-127f%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-76x76-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-76x76-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:51	5177/5177	---M--	200	added ('OK')	image/png	etag:%22675195ce-1c12%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-114x114-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:52	4903/4903	---M--	200	added ('OK')	image/png	etag:%22675fb32e-1b47%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-120x120-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-120x120-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:52	5691/5691	---M--	200	added ('OK')	image/png	etag:%226752c3b9-1f64%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-144x144-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:52	4971/4971	---M--	200	added ('OK')	image/png	etag:%2267594350-1d4e%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-152x152-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-152x152-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:52	2639/2639	---M--	200	added ('OK')	image/png	etag:%226743fa4e-53e3%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-180x180-precomposed.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/apple-touch-icon-180x180-precomposed.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:53	4015/4015	---M--	200	added ('OK')	image/png	etag:%226728e0a0-1626%22	https://artisantalent.com/wp-content/themes/artisan2017/favicons/touch-icon-192x192.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/favicons/touch-icon-192x192.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:53	282/282	---M-Z	200	added ('OK')	text/css	etag:W/%22672c0770-11a%22	https://artisantalent.com/wp-content/themes/artisan2017/css/no-script.css	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/css/no-script.css	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:54	1908/1908	---MCZ	200	added ('OK')	text/css	etag:W/%2266834307-1e1c%22	https://artisantalent.com/wp-content/themes/artisan2017/css/normalize.css?ver=1	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/css/normalize68b3.css	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:54	13055/13055	---MCZ	200	added ('OK')	text/css	etag:W/%2266a6d98a-43f8%22	https://artisantalent.com/wp-content/themes/artisan2017/css/jquery.fancybox.css?ver=1	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/css/jquery.fancybox68b3.css	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:54	266294/266294	---M-Z	200	added ('OK')	text/css	etag:W/%2267612f9f-41036%22	https://artisantalent.com/wp-content/themes/artisan2017/css/style.css?ver=1734450759	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/themes/artisan2017/css/styled762.css	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
03:02:54	662/662	---M--	200	added ('OK')	image/png	etag:%226748e400-296%22	https://artisantalent.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/My%20Web%20Sites/SEEDLIST%20(Web%20Development%20SpecialistWeb%20Designer)/artisan/artisantalent.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://artisantalent.com/job-descriptions/web-designer-job-description/)
